2019-05-21 23:04:02 iter:196, accuracy=20.12%
2019-05-21 23:04:08 iter:197, accuracy=19.92%
2019-05-21 23:04:14 iter:198, accuracy=19.73%
2019-05-21 23:04:19 iter:199, accuracy=20.7%
2019-05-21 23:04:24 iter:200, accuracy=19.14%
2019-05-21 23:04:30 iter:201, accuracy=20.31%
2019-05-21 23:04:35 iter:202, accuracy=21.68%
2019-05-21 23:04:41 iter:203, accuracy=19.73%
2019-05-21 23:04:47 iter:204, accuracy=21.29%
2019-05-21 23:04:54 iter:205, accuracy=18.55%
2019-05-21 23:05:00 iter:206, accuracy=19.73%
2019-05-21 23:05:06 iter:207, accuracy=18.95%
2019-05-21 23:05:11 iter:208, accuracy=17.77%
2019-05-21 23:05:17 iter:209, accuracy=20.7%
2019-05-21 23:05:23 iter:210, accuracy=19.73%
2019-05-21 23:05:28 iter:211, accuracy=16.6%
2019-05-21 23:05:34 iter:212, accuracy=22.27%
2019-05-21 23:05:40 iter:213, accuracy=18.36%
2019-05-21 23:05:45 iter:214, accuracy=20.9%
2019-05-21 23:05:51 iter:215, accuracy=20.51%
2019-05-21 23:05:57 iter:216, accuracy=22.66%
2019-05-21 23:06:03 iter:217, accuracy=20.31%
2019-05-21 23:06:09 iter:218, accuracy=20.7%
2019-05-21 23:06:15 iter:219, accuracy=17.97%
2019-05-21 23:06:21 iter:220, accuracy=23.05%
2019-05-21 23:06:26 iter:221, accuracy=20.9%
2019-05-21 23:06:32 iter:222, accuracy=19.53%
2019-05-21 23:06:39 iter:223, accuracy=20.31%
2019-05-21 23:06:44 iter:224, accuracy=21.88%
2019-05-21 23:06:50 iter:225, accuracy=23.44%
2019-05-21 23:06:58 iter:226, accuracy=21.88%
2019-05-21 23:07:04 iter:227, accuracy=20.9%
2019-05-21 23:07:11 iter:228, accuracy=19.53%
2019-05-21 23:07:17 iter:229, accuracy=23.05%
2019-05-21 23:07:22 iter:230, accuracy=19.73%
2019-05-21 23:07:28 iter:231, accuracy=22.46%
2019-05-21 23:07:34 iter:232, accuracy=20.51%
2019-05-21 23:07:40 iter:233, accuracy=19.92%
2019-05-21 23:07:45 iter:234, accuracy=17.77%
2019-05-21 23:07:51 iter:235, accuracy=23.63%
2019-05-21 23:07:57 iter:236, accuracy=21.09%
2019-05-21 23:08:03 iter:237, accuracy=22.27%
2019-05-21 23:08:08 iter:238, accuracy=18.16%
2019-05-21 23:08:15 iter:239, accuracy=22.46%
2019-05-21 23:08:20 iter:240, accuracy=18.16%
2019-05-21 23:08:27 iter:241, accuracy=22.66%
2019-05-21 23:08:33 iter:242, accuracy=23.83%
2019-05-21 23:08:39 iter:243, accuracy=21.68%
2019-05-21 23:08:46 iter:244, accuracy=23.05%
2019-05-21 23:08:51 iter:245, accuracy=23.63%
2019-05-21 23:08:57 iter:246, accuracy=20.9%
2019-05-21 23:09:03 iter:247, accuracy=19.92%
2019-05-21 23:09:09 iter:248, accuracy=21.48%
2019-05-21 23:09:16 iter:249, accuracy=21.68%
2019-05-21 23:10:10 iter 249, Test accuracy:21.14%
2019-05-21 23:10:16 iter:250, accuracy=19.14%
